Unit,Date,Production_Potential,Gross_Oil_Production,Net_Oil_Production,Oil_Losses,Oil_Salinity,BSW_Outlet,Produced_Water,Discharged_Water,Oil_Content_in_Discharged_Water,Total_WI,Target_WI,WI Losses,Produced Gas,Gas Injection,Target GI,Gas Lift,Import Gas,Gas Export,HP Fuel Gas,LP Fuel Gas,HP Flare,LP Flare,Fuel Gas,Flare,Flare Commulative
Unit_5,5/1/2022,3743.17,0,0,3743.17,0,0,0,0,0,0.00,0,0.00,1572134,0,0,0,0,0,0,0,269978,1191320,0,1461298,1461298
Unit_5,5/2/2022,5743.77,2781.71,5745.84,0,135,0.5,13.9,0,0,0.00,0,0.00,2107481,0,0,0,0,0,0,0,329185.45,1668099.38,0,1997284.83,1997284.83
Unit_5,5/3/2022,5043.93,5059.11,5043.93,0,157,0.3,15.17,0,0,0.00,0,0.00,1880249,0,0,0,0,0,0,0,314366,1456925,0,1771291,1771291
Unit_5,5/4/2022,4987.2,5002.21,4977.19,10.01,105,0.5,15,0,0,0.00,0,0.00,1854238,0,0,0,0,0,0,0,305941,1439435,0,1745376,1745376
Unit_5,5/5/2022,3572.628,4146.09,4128.26,0,103,0.43,17.82,0,0,,0,0.00,1538387,0,0,0,0,0,0,0,264657,1167851,0,1432508,1432508
Unit_5,5/6/2022,3464.4,3808.8,3797.74,0,117,0.29,11.04,0,0,,0,0.00,1479415,0,0,0,0,0,0,0,262506,1107116,0,1369622,1369622
Unit_5,5/7/2022,3464.4,5197.31,5187.43,0,88,0.19,9.87,0,0,0.00,0,0.00,1517560,0,0,0,0,0,0,0,272351,1134950,0,1407301,1407301
Unit_5,5/8/2022,3464.4,5190.47,5180.59,0,73,0.19,9.86,0,0,0.00,0,0.00,1409600,0,0,0,0,0,0,0,261827,1037435,0,1299262,1299262
Unit_5,5/9/2022,3464.4,4893.66,4885.34,0,88,0.17,8.31,0,0,0.00,0,0.00,1347034,0,0,0,0,0,0,0,254769,981940,0,1236709,1236709
Unit_5,5/10/2022,4269.2,4898.11,4890.26,0,116,0.16,7.83,0,0,0.00,0,0.00,1348790,0,0,0,0,0,0,0,253994,984520,0,1238514,1238514
Unit_5,5/11/2022,3464.4,4446.93,4438.48,0,117,0.19,8.44,0,0,0.00,0,0.00,1356120,0,0,0,0,0,0,0,254582,991671,0,1246253,1246253
Unit_5,5/12/2022,3464.4,3563,3557.29,0,102,0.16,5.7,0,0,0.00,0,0.00,1371347,0,0,0,0,0,0,0,259127,1002890,0,1262017,1262017
Unit_5,5/13/2022,3464.4,3441.58,3435.04,29.36,88,0.19,6.53,0,0,0.00,0,0.00,1378332,0,0,0,0,0,0,0,264991,1003936,0,1268927,1268927
Unit_5,5/14/2022,3464.4,3460.82,3453.54,10.86,102,0.21,7.26,0,0,0.00,0,0.00,1370917,0,0,0,0,0,0,0,260986,1000422,0,1261408,1261408
Unit_5,5/15/2022,4433.736,4418.44,4409.15,24.586,117,0.21,9.27,0,0,0.00,0,0.00,1664402,0,0,0,0,0,0,0,278159,1275026,0,1553185,1553185
Unit_5,5/16/2022,4949.341,4984.53,4974.56,0,102,0.2,9.96,0,0,0.00,0,0.00,1848722,0,0,0,0,0,0,0,291761,1446328,0,1738089,1738089
Unit_5,5/17/2022,3464.4,4990.16,4978.18,0,234,0.24,11.97,0,0,0.00,0,0.00,1809438,0,0,0,0,0,0,0,886072,814474,0,1700546,1700546
Unit_5,5/18/2022,3464.4,5167.49,5156.63,0,198,0.21,10.85,0,0,0.00,0,0.00,1781061,0,0,0,0,0,0,0,1373676,301297,0,1674973,1674973
Unit_5,5/19/2022,4949.34,3854.68,3846.97,1102.37,160,0.2,7.7,0,0,0.00,0,0.00,1305370,0,0,0,0,0,0,0,996599,225575,0,1222174,1222174
